公司名稱,職缺名稱,徵才網址,薪水區間,工作性質,工作地點,管理責任,出差外派,上班時段,休假制度,可上班日,需求人數,接受身份,工作經歷,學歷要求,科系要求,語文條件,擅長工具
恆富國際有限公司,【資料庫】DBA資深工程師,http://www.104.com.tw/job/6rjfj?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市信義區松仁路,不需負擔管理責任,無需出差外派,日班，需輪班,依公司規定,不限,1至3 人,上班族,不拘,專科以上,不拘,不拘,不拘
創視科技有限公司,數據工程師 /資料處理工程師,http://www.104.com.tw/job/6zi2j?jobsource=jolist_c_relevance,"月薪 35,000~60,000元",全職,台中市西屯區惠中路148號,不需負擔管理責任,無需出差外派,日班，09:00-18:00,週休二日,不限,1至3 人,不拘,1年以上,不拘,不拘,不拘,不拘
瑞嘉軟體科技股份有限公司,【DBA】SQL Server DBA / 資料庫管理工程師,http://www.104.com.tw/job/6xt4l?jobsource=jolist_c_relevance,"月薪 55,000~142,000元",全職,台北市內湖區瑞湖街58號8樓 (內湖科技園區),不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1至2 人,上班族,1年以上,專科、大學、碩士,不拘,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘
全一電子股份有限公司,資料中心助理工程師,http://www.104.com.tw/job/6jwlt?jobsource=jolist_c_relevance,"月薪 24,000~26,000元",全職,台南市南區新樂路24-3號 (安平工業區),不需負擔管理責任,無需出差外派,日班，0800-1700,週休二日,不限,1 人,上班族歡迎肢體障礙(上肢)(輕度)、肢體障礙(軀幹)(輕度)、顏面損傷(輕度)的身心障礙人士，需附身心障礙證明【相關法令】,1年以上,專科以上,資訊工程相關、電機電子工程相關,中文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通,Adobe Acrobat、Excel、Outlook、PowerPoint、Word、中文打字20~50、英文打字20~50
瑞嘉軟體科技股份有限公司,【DBA】SQL Server Database Developer / 資料庫開發工程師,http://www.104.com.tw/job/49ko5?jobsource=jolist_c_relevance,"月薪 55,000~142,000元",全職,台北市內湖區瑞湖街58號8樓 (內湖科技園區),不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1至2 人,上班族,1年以上,專科、大學、碩士,不拘,英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,不拘
歐立威科技股份有限公司,資料平台工程師(或新鮮人),http://www.104.com.tw/job/4v0q8?jobsource=jolist_c_relevance,"月薪 28,000~40,000元",全職,台北市大同區鄭州路87號10樓,不需負擔管理責任,無需出差外派,日班,依公司規定,一個月內,1至4 人,上班族、應屆畢業生、二度就業,不拘,大學以上,不拘,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘
風采有限公司,DBA,http://www.104.com.tw/job/70iwn?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台中市西屯區惠中路一段,不需負擔管理責任,無需出差外派,日班,週休二日,兩週內,1 人,上班族,1年以上,不拘,不拘,不拘,Linux、Shell、MySQL
慧邦科技股份有限公司,遊戲數據工程師,http://www.104.com.tw/job/6u7bu?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市中正區,不需負擔管理責任,無需出差外派,日班，9:30-18:00,週休二日,一個月內,1 人,上班族、應屆畢業生,不拘,大學、碩士,資訊管理相關、數學及電算機科學學科類,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,PHP、MySQL、jQuery
磐弈有限公司,Web 資深前端工程師,http://www.104.com.tw/job/6yhxx?jobsource=2018indexpoc,"月薪 40,000~80,000元",全職,台中市西屯區市政路386號,不需負擔管理責任,無需出差外派,日班，10:00-18:00,週休二日,不限,1至5 人,上班族,3年以上,專科、大學,不拘,不拘,AJAX、HTML、JavaScript、jQuery、CSS、Sass
美商先進資訊有限公司 Advanced Control Systems Inc.,專案工程師 (Project Engineer),http://www.104.com.tw/job/6c3ws?jobsource=2018indexpoc,"月薪 50,000~65,000元",全職,台中市西區臺灣大道二段285號13樓之1,不需負擔管理責任,需出差，一年累積時間約三個月以下,日班，e.g. 8:30 ~ 18:00,週休二日,一個月內,2至3 人,上班族、應屆畢業生,不拘,大學、碩士,電機電子工程相關、資訊工程相關、工程學科類,英文 -- 聽 /中等、說 /中等、讀 /精通、寫 /精通,DOS、Linux、Shell、Windows 10、Systems Administration、C++.Net、Java、Perl、Python、Visual Basic .net、Visual Studio .net、Access、MySQL、ODBC、Oracle、PL/SQL、RDBMS、Vmware、Firewall、Hubs/ Routers、LAN、Routers、SOAP、ssh、TCP/IP、VPN、WAN、Excel、Outlook、PowerPoint、Word、AutoCAD、ArcGis、GIS、MapGIS
