公司名稱,職缺名稱,徵才網址,薪水區間,工作性質,工作地點,管理責任,出差外派,上班時段,休假制度,可上班日,需求人數,接受身份,工作經歷,學歷要求,科系要求,語文條件,擅長工具
艾絲資訊股份有限公司,艾絲資訊 PHP 系統開發工程師,http://www.104.com.tw/job/4ua1d?jobsource=hotjob_chr,"月薪 40,000~60,000元",全職,台北市大同區延平北路二段202號B1,不需負擔管理責任,無需出差外派,日班,依公司規定,兩週內,1至2 人,上班族、應屆畢業生歡迎身心障礙人士，需附身心障礙證明【相關法令】,不拘,專科、大學、碩士,資訊工程相關、資訊管理相關,英文 -- 聽 /中等、說 /略懂、讀 /中等、寫 /中等,不拘
茂林光電科技股份有限公司,【茂林光電  徵的是你】繪圖助理工程師 (新增),http://www.104.com.tw/job/70m4u?jobsource=hotjob_chr,"月薪 28,000~55,000元",全職,桃園市中壢區民權路三段1149號(320),不需負擔管理責任,無需出差外派,日班,依公司規定,兩週內,1 人,上班族、應屆畢業生,1年以上,專科、大學、碩士,機械工程相關、電機電子工程相關、工業工程相關,英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,AutoCad 2D、AutoCad 3D
開榮股份有限公司,產品應用專員 Applications Specialist -南區,http://www.104.com.tw/job/6y482?jobsource=hotjob_chr,待遇面議 (經常性薪資達4萬元或以上) ,全職,高雄市苓雅區憲政路,不需負擔管理責任,需出差，一年累積時間未定,日班，08：30~17：30,週休二日,不限,1 人,上班族,2年以上,大學以上,醫藥衛生學科類,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘
瀚強工程有限公司,工務助理【需建築相關科系，歡迎社會新鮮人】,http://www.104.com.tw/job/70bu8?jobsource=hotjob_chr,"月薪 35,000元以上",全職,桃園市龜山區大坑村17鄰陳厝坑路181號,不需負擔管理責任,無需出差外派,日班,依公司規定,兩週內,1至5 人,上班族、應屆畢業生,不拘,高中以上,建築及都市規劃學科類,不拘,Excel、PowerPoint、Word
"SKF Taiwan Co., Ltd._斯凱孚股份有限公司",可靠度業務工程師,http://www.104.com.tw/job/6wd3f?jobsource=hotjob_chr,"月薪 30,000~45,000元",全職,台中市大雅區中山七路2號,不需負擔管理責任,需出差，一年累積時間約三個月以下,日班,週休二日,一個月內,1 人,上班族、應屆畢業生,1年以上,專科、大學、碩士,不拘,中文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等台語 -- 中等,Windows 7、Windows Server 2012、Windows 10、Access、MS SQL、MySQL、Adobe Acrobat、Excel、PowerPoint、Word
英濟股份有限公司,生醫事業 製程工程師,http://www.104.com.tw/job/71eaq?jobsource=hotjob_chr,待遇面議 (經常性薪資達4萬元或以上) ,全職,新北市中和區建八路16號,不需負擔管理責任,無需出差外派,日班,週休二日,一個月內,1 人,上班族,8年以上,專科,工業工程相關、機械工程相關,英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,AutoCAD
太聯事業股份有限公司,事業開發助理 (全球事業開發部),http://www.104.com.tw/job/7195j?jobsource=hotjob_chr,"月薪 35,000~50,000元",全職,新北市三重區中正北路315巷6弄14號,不需負擔管理責任,無需出差外派,日班，9:00- 18:00,週休二日,不限,1至2 人,上班族,1年以上,專科以上,商業及管理學科類、電機電子工程相關、機械工程相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,Windows XP、Excel、Outlook、PowerPoint、Word
易大科技股份有限公司,現場管理工程師(彰化),http://www.104.com.tw/job/6zrnb?jobsource=hotjob_chr,"月薪 31,000元以上",全職,彰化縣線西鄉寓埔村中正路213號,管理5-8人,無需出差外派,日班,週休二日,一個月內,1至2 人,上班族、二度就業,1年以上,高中以上,不拘,台語 -- 精通,不拘
"SKF Taiwan Co., Ltd._斯凱孚股份有限公司",服務工程師,http://www.104.com.tw/job/5i2h5?jobsource=hotjob_chr,待遇面議 (經常性薪資達4萬元或以上) ,全職,台中市大雅區中山五路30號,不需負擔管理責任,需出差，一年累積時間約三個月以下,日班，0830~1730,週休二日,不限,1 人,上班族、應屆畢業生,不拘,專科以上,不拘,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等中文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通台語 -- 中等,PowerPoint、AutoCAD
使之覺醒生化科技有限公司,保健食品開發專員,http://www.104.com.tw/job/717zc?jobsource=hotjob_chr,"月薪 35,000~55,000元",全職,台北市松山區南京東路五段118號10樓之1,不需負擔管理責任,無需出差外派,日班，9:00~18:00 (彈性30分鐘上下班)，中午休息1小時,週休二日,一個月內,1 人,上班族,1年以上,大學以上,食品營養相關、食品科學相關,不拘,不拘
英屬維京群島商嘉碼科技有限公司台灣分公司,資料工程師,http://www.104.com.tw/job/6zvh2?jobsource=jolist_c_relevance,"月薪 50,000~70,000元",全職,台中市西屯區工業三十八路210號3樓之6 (台中工業區),不需負擔管理責任,無需出差外派,日班，09:30-18:30,週休二日,兩週內,1 人,上班族,3年以上,大學以上,資訊工程相關、資訊管理相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,Python、JavaScript、Node.js
精藤股份有限公司,資料工程師,http://www.104.com.tw/job/6xsj2?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市中山區中山北路二段61號11樓,不需負擔管理責任,無需出差外派,日班，09:00~18:00,週休二日,不限,1 人,上班族,2年以上,專科以上,資訊管理相關、數理統計相關、資訊工程相關,不拘,不拘
聖嘉資訊科技股份有限公司,資料工程師,http://www.104.com.tw/job/3226n?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市信義區基隆路二段115號8樓之3,不需負擔管理責任,需出差外派，一年累積時間未定,日班，09:00~18:00,週休二日,不限,不限,上班族、應屆畢業生,不拘,大學、碩士,資訊工程相關、資訊管理相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,Linux、Shell、Windows Server 2008、Windows Server 2012、Java、Python、Scala、Data Modeling、Database Management、DataStage、DB2、ETL、Informatica、MS SQL、MySQL、OLAP、Oracle、PostgreSQL、Data Architect、Data Marts
我傳媒科技股份有限公司,資料工程師,http://www.104.com.tw/job/6y4tz?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市信義區基隆路二段115號10樓,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1 人,上班族,5年以上,大學以上,資訊管理相關、其他數學及電算機科學相關、資訊工程相關,不拘,不拘
17直播_英屬維京群島商麻吉一七股份有限公司台灣分公司,Data Engineer 資料工程師,http://www.104.com.tw/job/6roij?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市中正區仁愛路二段,不需負擔管理責任,無需出差外派,日班,週休二日,一個月內,1 人,上班族、應屆畢業生,2年以上,大學以上,不拘,不拘,不拘
玉山銀行_玉山商業銀行股份有限公司,(數金處)資料工程師,http://www.104.com.tw/job/5y7ya?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市松山區民生東路三段115號,不需負擔管理責任,無需出差外派,日班，08:30~17:30,週休二日,不限,不限,上班族、應屆畢業生,不拘,大學以上,資訊管理相關、數學及電算機科學學科類、資訊工程相關,不拘,不拘
17直播_英屬維京群島商麻吉一七股份有限公司台灣分公司,Data Engineer Manager 資料工程經理,http://www.104.com.tw/job/70mrk?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市中正區仁愛路二段,管理4人以下,無需出差外派,日班,週休二日,一個月內,1 人,上班族、應屆畢業生,8年以上,大學以上,不拘,不拘,Java、Python、Scala、ETL
華致資訊開發股份有限公司,資料工程師 Data Engineer,http://www.104.com.tw/job/717oc?jobsource=jolist_c_relevance,"月薪 30,000~45,000元",全職,高雄市楠梓區楠梓加工出口區中三街9號,不需負擔管理責任,需出差，一年累積時間未定,日班，08:20~17:10,週休二日,不限,1 人,上班族、應屆畢業生、原住民【相關法令】,不拘,大學、碩士,資訊工程相關、數理統計相關、應用數學相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,Python、R
ViewSonic Corporation_優派國際股份有限公司,資料工程師 Data Developer,http://www.104.com.tw/job/6vjg7?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) ,全職,新北市中和區連城路192號9樓(235),不需負擔管理責任,無需出差外派,日班，9:00-18:00,週休二日,不限,2至3 人,上班族,3年以上,大學以上,不拘,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘
三也科技股份有限公司,維運資料工程師,http://www.104.com.tw/job/6z7y8?jobsource=jolist_c_relevance,"月薪 50,000~80,000元",全職,台北市大同區甘谷街35號8樓,不需負擔管理責任,需外派，一年累積時間未定,日班,週休二日,不限,1至2 人,上班族、應屆畢業生,5年以上,專科以上,不拘,不拘,不拘
搞之訊有限公司,ETL資料工程師,http://www.104.com.tw/job/71kng?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) ,全職,台中市西屯區惠中路一段88號25樓,不需負擔管理責任,無需出差外派,日班，9:00-18:00,週休二日,一個月內,1 人,上班族,3年以上,大學以上,不拘,不拘,Python、MySQL、JavaScript
PIXNET_優像數位媒體科技股份有限公司,高級資料工程師(NC-痞客邦研發中心),http://www.104.com.tw/job/6lyi1?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市中山區民生東路三段51號12樓,不需負擔管理責任,無需出差外派,日班,週休二日,不限,1 人,上班族、應屆畢業生,2年以上,大學以上,不拘,不拘,Linux、UNIX、PHP、Python、MySQL
三也科技股份有限公司,資深維運資料工程師,http://www.104.com.tw/job/6zx2w?jobsource=jolist_c_relevance,"月薪 70,000~100,000元",全職,台北市大同區甘谷街35號8樓,不需負擔管理責任,需外派，一年累積時間未定,日班,週休二日,不限,2至3 人,上班族,5年以上,專科以上,不拘,不拘,不拘
天鏡科技股份有限公司,資料工程師 (Data Engineer),http://www.104.com.tw/job/68tpe?jobsource=jolist_c_relevance,"月薪 40,000~90,000元",全職,新北市新莊區復興路一段 3 號之 2 (5 樓),不需負擔管理責任,無需出差外派,日班，9:00~18:00,週休二日,可年後上班,不限,上班族,2年以上,大學以上,數學及電算機科學學科類、資訊管理相關,英文 -- 聽 /略懂、說 /略懂、讀 /中等、寫 /中等,不拘
永豐商業銀行股份有限公司,數據應用部-資料工程人員,http://www.104.com.tw/job/70dj8?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市中山區中山區建國北路二段9-1號,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,2 人,上班族、應屆畢業生,不拘,碩士以上,不拘,不拘,不拘
紫式大數據決策股份有限公司,資料工程暨網頁系統整合開發工程師,http://www.104.com.tw/job/6p2d5?jobsource=jolist_c_relevance,"年薪 700,000~900,000元",全職,新竹市光復路二段101號國立清華大學創新育成中心,不需負擔管理責任,無需出差外派,日班,週休二日,一個月內,1至3 人,上班族、應屆畢業生,不拘,碩士,不拘,不拘,Linux、Python、Django、Git、ETL、VueJS
麟數據科技股份有限公司,資料工程師 Data Engineer (數據中台),http://www.104.com.tw/job/6uduf?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市大安區和平東路一段75巷3號,不需負擔管理責任,無需出差外派,日班,週休二日,一個月內,1至2 人,上班族、應屆畢業生,不拘,大學、碩士,不拘,英文 -- 聽 /中等、說 /中等、讀 /精通、寫 /中等,Linux、Shell、OOP、Java、Python、Spring、ETL、OLAP、hadoop、AWS
91APP_九易宇軒股份有限公司,雲端資料工程師 (Cloud Data Engineer),http://www.104.com.tw/job/5s15o?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市南港區八德路四段768巷5號6樓,不需負擔管理責任,無需出差外派,日班,週休二日,不限,1 人,上班族,3年以上,大學、碩士,不拘,不拘,不拘
富智康國際股份有限公司(鴻海集團),【S】資料工程師 Data Engineer(土城),http://www.104.com.tw/job/70cte?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) ,全職,新北市土城區民生街4號,不需負擔管理責任,無需出差外派,日班,週休二日,不限,1 人,上班族、應屆畢業生,不拘,大學、碩士,資訊工程相關、應用數學相關、數理統計相關,不拘,Linux、OOAD、C、C++、Java、Matlab、Python、MS SQL、hadoop
"美商 Canner, Inc_易開科技股份有限公司",資深資料工程師 (Data Engineer),http://www.104.com.tw/job/6pgc8?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) ,全職,新北市板橋區民生路一段 33 號 7F-2,不需負擔管理責任,無需出差外派,日班,週休二日,不限,1至2 人,上班族、應屆畢業生,2年以上,大學以上,不拘,不拘,Java、Database Administrator、Database Management、hadoop
鼎羿科技有限公司,資料庫工程師,http://www.104.com.tw/job/6z13k?jobsource=2018indexpoc,"月薪 40,000~55,000元",全職,台北市內湖區 (內湖科技園區),不需負擔管理責任,無需出差外派,日班,週休二日,不限,1至2 人,上班族,1年以上,專科以上,不拘,不拘,不拘
九七科技股份有限公司,Python 後端資料工程師,http://www.104.com.tw/job/700vg?jobsource=2018indexpoc,"月薪 45,000~65,000元",全職,台北市內湖區,不需負擔管理責任,無需出差外派,日班,週休二日,不限,不限,上班族,不拘,大學以上,資訊工程相關、應用數學相關、其他數學及電算機科學相關,不拘,Python、MySQL、HTML、JavaScript、CSS
資寶科技股份有限公司,資料工程師/Data Engineer,http://www.104.com.tw/job/71fz1?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台中市北區文心路四段208之1號7樓之2,不需負擔管理責任,需出差，一年累積時間約一個月以下,日班,依公司規定,不限,2 人,上班族,2年以上,碩士以上,資訊工程相關、一般數學相關、其他數學及電算機科學相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘
台灣大哥大股份有限公司,I193 大數據資料工程師,http://www.104.com.tw/job/6q2g6?jobsource=2018indexpoc,"月薪 31,000~53,000元",全職,台北市大安區,不需負擔管理責任,無需出差外派,日班,週休二日,不限,1 人,上班族,2年以上,大學、碩士,資訊工程相關、資訊管理相關,不拘,Java、Python、PL/SQL、hadoop
瑞嘉軟體科技股份有限公司,Data Engineer / 資料工程師,http://www.104.com.tw/job/5jh6a?jobsource=2018indexpoc,"月薪 55,000~142,000元",全職,台北市內湖區瑞湖街58號8樓 (內湖科技園區),不需負擔管理責任,無需出差外派,日班,週休二日,不限,1至2 人,上班族,1年以上,大學、碩士,不拘,不拘,不拘
英屬維京群島商耐思財富投資有限公司台灣分公司,Data Engineer / 資料工程師,http://www.104.com.tw/job/714cp?jobsource=2018indexpoc,"月薪 55,000~142,000元",全職,台北市內湖區瑞湖街58號3樓 (內湖科技園區),不需負擔管理責任,無需出差外派,日班,週休二日,不限,1 人,上班族,1年以上,大學、碩士,不拘,不拘,不拘
三立電視台_三立電視股份有限公司,資料工程師(資訊部),http://www.104.com.tw/job/6dcfl?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市內湖區舊宗路一段159號1樓(114),不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1至2 人,上班族、原住民【相關法令】,1年以上,專科、大學、碩士,不拘,不拘,不拘
PIXNET_優像數位媒體科技股份有限公司,高級資料工程師(NC-痞客邦研發中心),http://www.104.com.tw/job/6lyi1?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市中山區民生東路三段51號12樓,不需負擔管理責任,無需出差外派,日班,週休二日,不限,1 人,上班族、應屆畢業生,2年以上,大學以上,不拘,不拘,Linux、UNIX、PHP、Python、MySQL
關貿網路股份有限公司,資料工程師(T53),http://www.104.com.tw/job/4ftgq?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市南港區三重路19之13號6樓(115),不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1 人,上班族,2年以上,大學以上,資訊工程相關、資訊管理相關、數理統計相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,Java、Python、XML Web services
信業國際有限公司,資料庫工程師,http://www.104.com.tw/job/6aqsa?jobsource=2018indexpoc,"月薪 30,000~60,000元",全職,台中市西區民權路219號11樓,不需負擔管理責任,無需出差外派,日班，(9:00~18:00),週休二日,不限,不限,上班族,1年以上,專科以上,不拘,不拘,C#、Database Administrator、MS SQL
緯德科技股份有限公司 (TechLink Corporation),SQL資料庫工程師,http://www.104.com.tw/job/5e6v1?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市松山區敦化北路207號8F-13,不需負擔管理責任,需外派，一年累積時間未定,日班，09:00~18:00,週休二日,不限,不限,上班族、應屆畢業生、外籍人士、原住民【相關法令】,1年以上,專科以上,不拘,不拘,DataStage、ETL、Informatica、MS SQL、MySQL、Oracle、PL/SQL
鉑麟科技股份有限公司,資料工程師,http://www.104.com.tw/job/6pjfz?jobsource=2018indexpoc,"月薪 50,000~80,000元",全職,台中市西屯區朝富路213號,不需負擔管理責任,無需出差外派,日班,週休二日,不限,1 人,上班族、應屆畢業生,不拘,專科以上,資訊工程相關、數理統計相關、電機電子工程相關,不拘,不拘
臺灣發展軟體科技股份有限公司,Deep Learning Data Engineer 深度學習資料工程師,http://www.104.com.tw/job/70blb?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市內湖區瑞光路 (內湖科技園區),不需負擔管理責任,無需出差外派,日班,週休二日,一個月內,1至2 人,上班族、夜間就讀中、原住民【相關法令】、中壯齡(45~54歲),4年以上,大學以上,不拘,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,Python
嘉實資訊股份有限公司,資料庫研發工程師,http://www.104.com.tw/job/44d7a?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,新北市新店區民權路52號6樓,不需負擔管理責任,無需出差外派,日班，09:00~18:24,週休二日,不限,不限,上班族、應屆畢業生、原住民【相關法令】,不拘,大學、碩士,資訊工程相關、資訊管理相關,不拘,ANSI SQL、Database Management、MS SQL、OLAP
資寶科技股份有限公司,資深資料工程師/Senior Data Engineer,http://www.104.com.tw/job/70fu1?jobsource=2018indexpoc,"年薪 1,200,000~1,800,000元",全職,台中市北區文心路四段208之1號7樓之2,不需負擔管理責任,需出差，一年累積時間約一個月以下,日班,週休二日,不限,1至2 人,上班族,5年以上,碩士以上,資訊工程相關、一般數學相關、其他數學及電算機科學相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘
Nexio Technology Limited_睿世軟體科技股份有限公司,SQL Developer | 資料庫工程師,http://www.104.com.tw/job/6nn99?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市內湖區洲子街57號6樓,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1至2 人,上班族、原住民【相關法令】,1年以上,大學、碩士,數學及電算機科學學科類,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘
云智資訊股份有限公司,資料庫工程師,http://www.104.com.tw/job/6u7ri?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市中正區台北市(依照公司規定分派),不需負擔管理責任,無需出差外派,日班,週休二日,不限,1至2 人,上班族、原住民【相關法令】、二度就業、中壯齡(45~54歲)、中高齡(55~64歲),2年以上,專科以上,不拘,英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,不拘
圖策科技股份有限公司,ML / Data Engineer 機器學習與資料工程師,http://www.104.com.tw/job/6yd49?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市松山區光復南路65號13樓,不需負擔管理責任,需出差外派，一年累積時間未定,日班,週休二日,一個月內,1至2 人,上班族、應屆畢業生、原住民【相關法令】,2年以上,大學以上,不拘,英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通,不拘
台灣大哥大股份有限公司,I202 資料庫軟體工程師,http://www.104.com.tw/job/6xiif?jobsource=2018indexpoc,"月薪 31,000~53,000元",全職,台北市大安區,不需負擔管理責任,無需出差外派,日班，08:30~17:30,週休二日,不限,1 人,上班族,1年以上,大學、碩士,資訊管理相關、資訊工程相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,Java、Python、Oracle
汎宇電商股份有限公司,資料庫管理工程師,http://www.104.com.tw/job/70iph?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市南港區南港路三段50巷7號4樓,不需負擔管理責任,無需出差外派,日班,週休二日,一個月內,1 人,上班族、外籍人士、二度就業,1年以上,專科、大學,資訊管理相關、資訊工程相關,英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,Linux、UNIX、Windows Server 2012、MS SQL、Oracle
奇美拉股份有限公司,資料庫工程師,http://www.104.com.tw/job/6ectf?jobsource=2018indexpoc,"月薪 35,000~50,000元",全職,台中市北區精武路390號,不需負擔管理責任,無需出差外派,日班，需輪班,週休二日,不限,1至2 人,上班族、應屆畢業生、原住民【相關法令】、二度就業,1年以上,高中以上,不拘,英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,MySQL
域動行銷股份有限公司,資料工程師 (機器學習)(具圖像辨識經驗佳),http://www.104.com.tw/job/6shtp?jobsource=2018indexpoc,"月薪 40,000元以上",全職,台北市松山區民生東路三段138號14樓,不需負擔管理責任,無需出差外派,日班,週休二日,不限,1至5 人,上班族、應屆畢業生,不拘,不拘,不拘,不拘,不拘
雨林新零售股份有限公司,DBA 資料庫工程師,http://www.104.com.tw/job/6xvb0?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市松山區南京東路四段18號15樓,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1至2 人,上班族、二度就業,3年以上,專科、大學、碩士,不拘,不拘,MySQL、Oracle
皇霖實業股份有限公司,SQL資料庫工程師,http://www.104.com.tw/job/6wm60?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市大安區羅斯福路三段29號6樓,不需負擔管理責任,需外派，一年累積時間未定,日班,依公司規定,不限,不限,上班族、應屆畢業生、研發替代役工作、外籍人士,1年以上,專科以上,不拘,不拘,Cognos、DataStage、ETL、Informatica、MS SQL、MySQL、Oracle、PL/SQL
臺灣中小企業銀行股份有限公司,資料倉儲工程師,http://www.104.com.tw/job/6f3dr?jobsource=2018indexpoc,"月薪 33,000~67,000元",全職,台北市中正區重慶南路一段,不需負擔管理責任,無需出差外派,日班,依公司規定,一個月內,10 人,上班族,2年以上,大學以上,不拘,不拘,不拘
億力資訊股份有限公司,資料庫工程師,http://www.104.com.tw/job/41mm3?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市松山區民權東路三段142號5樓506室,不需負擔管理責任,需外派，一年累積時間約七個月以上,日班,依公司規定,不限,1 人,上班族、應屆畢業生、夜間就讀中,不拘,專科以上,不拘,不拘,不拘
昱冠資訊股份有限公司,資料科學工程師,http://www.104.com.tw/job/5ugo5?jobsource=2018indexpoc,"月薪 26,000~82,000元",全職,新竹市公道五路二段81號1樓,不需負擔管理責任,無需出差外派,日班,週休二日,一個月內,不限,上班族、外籍人士、原住民【相關法令】,1年以上,碩士以上,數理統計相關、資訊工程相關、電機電子工程相關,英文 -- 聽 /中等、說 /中等、讀 /精通、寫 /中等,Linux、Python、R、MS SQL、Oracle、JavaScript、Excel、PowerPoint、Word
緯德科技股份有限公司 (TechLink Corporation),資料分析報表工程師,http://www.104.com.tw/job/5ebze?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市松山區敦化北路207號8F-13,不需負擔管理責任,需外派，一年累積時間未定,日班，09:00~18:00,週休二日,不限,不限,上班族、應屆畢業生、外籍人士、原住民【相關法令】,1年以上,專科以上,不拘,不拘,MS SQL、MySQL、Oracle、PL/SQL
北都數位有線電視股份有限公司,資訊部-資料庫工程師,http://www.104.com.tw/job/6wpvd?jobsource=2018indexpoc,"月薪 32,000~40,000元",全職,台北市中山區八德路二段260號8樓,不需負擔管理責任,無需出差外派,日班,週休二日,不限,1 人,上班族、應屆畢業生、二度就業,2年以上,大學以上,不拘,英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,不拘
億力資訊股份有限公司,資料庫工程師 (DBA),http://www.104.com.tw/job/6r51u?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市松山區民權東路三段142號5樓506室,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,不限,上班族、夜間就讀中、原住民【相關法令】、中壯齡(45~54歲)、中高齡(55~64歲),不拘,高中以上,不拘,不拘,不拘
嘉實資訊股份有限公司,資料庫研發工程師,http://www.104.com.tw/job/44d7a?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) ,全職,新北市新店區民權路52號6樓,不需負擔管理責任,無需出差外派,日班，09:00~18:24,週休二日,不限,不限,上班族、應屆畢業生、原住民【相關法令】,不拘,大學、碩士,資訊工程相關、資訊管理相關,不拘,ANSI SQL、Database Management、MS SQL、OLAP
雨林新零售股份有限公司,DBA 資料庫工程師,http://www.104.com.tw/job/6xvb0?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市松山區南京東路四段18號15樓,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1至2 人,上班族、二度就業,3年以上,專科、大學、碩士,不拘,不拘,MySQL、Oracle
Nexio Technology Limited_睿世軟體科技股份有限公司,SQL Developer | 資料庫工程師,http://www.104.com.tw/job/6nn99?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市內湖區洲子街57號6樓,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1至2 人,上班族、原住民【相關法令】,1年以上,大學、碩士,數學及電算機科學學科類,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘
皇霖實業股份有限公司,SQL資料庫工程師,http://www.104.com.tw/job/6wm60?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市大安區羅斯福路三段29號6樓,不需負擔管理責任,需外派，一年累積時間未定,日班,依公司規定,不限,不限,上班族、應屆畢業生、研發替代役工作、外籍人士,1年以上,專科以上,不拘,不拘,Cognos、DataStage、ETL、Informatica、MS SQL、MySQL、Oracle、PL/SQL
臺灣中小企業銀行股份有限公司,資料倉儲工程師,http://www.104.com.tw/job/6f3dr?jobsource=jolist_c_relevance,"月薪 33,000~67,000元",全職,台北市中正區重慶南路一段,不需負擔管理責任,無需出差外派,日班,依公司規定,一個月內,10 人,上班族,2年以上,大學以上,不拘,不拘,不拘
億力資訊股份有限公司,資料庫工程師,http://www.104.com.tw/job/41mm3?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) ,全職,台北市松山區民權東路三段142號5樓506室,不需負擔管理責任,需外派，一年累積時間約七個月以上,日班,依公司規定,不限,1 人,上班族、應屆畢業生、夜間就讀中,不拘,專科以上,不拘,不拘,不拘
台灣大哥大股份有限公司,I202 資料庫軟體工程師,http://www.104.com.tw/job/6xiif?jobsource=jolist_c_relevance,"月薪 31,000~53,000元",全職,台北市大安區,不需負擔管理責任,無需出差外派,日班，08:30~17:30,週休二日,不限,1 人,上班族,1年以上,大學、碩士,資訊管理相關、資訊工程相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,Java、Python、Oracle
